date,high,low,close,ticker,next_open,standard_volume,oto,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr
2015-01-02,1.6288005229716074,-0.2571773087809426,0.21431306139758632,msft,-0.6215193237798955,-0.1709491439036071,0.02157027487783569,-13957071.003875397,27913900,,,,,,-13494765.47656564,1000.0,,0.0,,,,,,0.0,0.0,,47.78666305541992,46.026668548583984,,0.416665944183869,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,46.97999954223633,90.14631350116896,87.3494842572987,,,,,,0.0,0.0,,,,,,,,,,-48.37473227761567,,0.0
2015-01-05,0.7763653626138289,-0.2587857119881409,-0.08625641956309105,msft,0.02157027487783569,0.6091555389239542,-0.8624439772897841,-40406022.37041253,-11760000,,,,-0.5928322293311833,,-13868108.404703237,1000.0,,0.0,,,,,,0.0,0.0,,47.35166486104329,45.99166806538899,,0.24877541384420826,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,46.834999084472656,90.14631350116896,87.3494842572987,,,,,,0.0,0.0,,,,,,,,,,-0.9195819202596045,-0.9238361757946567,-0.9195819202596045
2015-01-06,0.7977553328241127,-1.8111257724083063,-1.5739532674098666,msft,-0.8624439772897841,0.3951574346040807,1.6746421605688957,-70226989.67685634,-48207900,,,,-1.1453303298753306,,-899791.5366826868,985.3226790783335,,0.0,,,,,,0.0,0.0,,47.297776540120445,45.58444595336914,,0.038262068637938886,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,46.47999954223633,90.14631350116896,87.3494842572987,,,,,47.41999816894531,0.0,1.0,,,,,,,,,,-1.4677320921666515,-1.4786098483982713,-2.3738170134688485
2015-01-07,1.0439311592324252,-1.0656760953627886,0.5437146639602597,msft,1.6746421605688957,-0.09133335816129083,1.8395734980782168,-54919585.71781922,-19093800,,,,-0.5663909687262362,,-165053.479577808,997.8415220188632,,0.0,,,,,,0.0,0.0,,47.23083178202311,45.4608351389567,,0.4345569842138777,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,46.454999923706055,90.14631350116896,87.3494842572987,,,,,47.382398223876955,0.0,0.0,,,,,,,,,,1.270532304426375,1.2625287631676585,-1.1334448210465586
2015-01-08,2.1390374331550888,-0.06416851186495931,1.7967917702414793,msft,1.8395734980782168,-0.05610261011284546,-0.3990809472179224,-34484547.07303839,10551400,,,,4.377770086429064,,1242010.697021174,997.8415220188632,,0.0,,,,,,0.0,0.0,,47.46133193969727,45.63333511352539,,1.0703875472038296,1.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,46.6200008392334,90.14631350116896,87.3494842572987,,,,45.4900016784668,,1.0,0.0,,,,,,,,,,2.9418140251311176,2.8993730241061666,1.7750253653719072
2015-01-09,0.4410818772957459,-1.491281401744604,-0.8821717669780238,msft,-0.3990809472179224,-0.4342809091604583,-0.948960281775968,-43333611.41715806,-13392800,,,,0.48028236950141756,,670851.8393327667,989.4545052062318,,0.0,,,,,,0.0,0.0,,47.588331858317055,45.75833511352539,,0.7823311802374676,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,46.65500068664551,90.14631350116896,87.3494842572987,,,,45.4900016784668,,0.0,0.0,,,,,,,,,,-0.8405159163613951,-0.8440681702339248,0.9195900782950961
2015-01-12,0.2530635833314365,-2.2353386746605253,-1.7292275969787445,msft,-0.948960281775968,-0.4536707559963848,-2.150313199875531,-57364487.67810915,-37044700,,,,-2.045501397639549,,-496966.2978494164,977.0836993990871,,0.0,,,,,,0.0,0.0,,47.64904639834449,45.7433348156157,,0.4495242964723649,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,46.65500068664551,90.14631350116896,87.3494842572987,,,,45.5832015991211,,0.0,0.0,,,,,,,,,,-1.2502652463608044,-1.258146824956441,-0.3421724832236128
2015-01-13,2.00127443534035,-1.9374064802259447,-1.2987025643991237,msft,-2.150313199875531,0.31706073025944737,0.5657139717357262,-81195993.82080804,-72315300,,,,0.1835797074812444,,-477361.03368051,977.0836993990871,,0.0,,,,,,0.0,0.0,,47.77124881744385,45.64125156402588,,0.33744130194173716,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,46.70000076293945,90.14631350116896,87.3494842572987,,,,45.672673522949225,,0.0,0.0,,,,,,,,,,-0.5150168919057174,-0.5163476750388085,-0.8554271290412752
2015-01-14,0.6092310695644532,-0.7397740630128768,0.0,msft,0.5657139717357262,-0.0511672539561813,-1.9688442738605931,-78320033.26706442,-102034900,,,,-2.2009148402194443,,-438075.02656504605,968.6532644222642,,0.0,,,,,,0.0,0.0,,47.636665909378614,45.605556629322194,,0.17450683655023047,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,46.70000076293945,,,46.70000076293945,90.14631350116896,87.3494842572987,,,,,47.90999984741211,0.0,1.0,,,,,,,,,,-0.8628160496391146,-0.8665598576564459,-1.710862416118064
2015-01-15,0.3461701496892733,-1.7524910253100656,-1.6010421006552034,msft,-1.9688442738605931,0.14990870816855545,2.1849433541467618,-106343940.23576032,-134785700,,,,-0.10366126847031475,,-598470.0679188499,968.6532644222642,,1.0749992370605455,,,,,,0.0,0.0,46.53466682434082,47.54566612243652,45.52366752624512,4.345144672087258,-0.021596446254237806,0.0,1.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,46.65999984741211,,,46.65999984741211,90.14631350116896,87.3494842572987,,,,,47.90999984741211,0.0,0.0,,,,,,,,45.47999954223633,,-1.0443854477762415,-1.0498774243293596,-2.7373798657888915
